years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2014;54;Sakarya;  717 910;  356 645;  361 265;  28 483;  4 205;  24 278;  27 635;  8 422;  19 213;  209 504;  85 159;  124 345;  130 783;  70 242;  60 541;  63 259;  37 912;  25 347;  164 524;  97 399;  67 125;  77 242;  44 087;  33 155;  5 560;  3 507;  2 053;  1 893;  1 264;   629;  9 027;  4 448;  4 579
2014;55;Samsun;  991 183;  484 277;  506 906;  34 638;  6 232;  28 406;  89 795;  26 532;  63 263;  288 396;  130 511;  157 885;  180 029;  98 392;  81 637;  74 932;  43 253;  31 679;  189 630;  106 471;  83 159;  114 606;  62 910;  51 696;  6 617;  3 868;  2 749;  2 271;  1 398;   873;  10 269;  4 710;  5 559
2014;56;Siirt;  198 064;  102 490;  95 574;  25 351;  4 496;  20 855;  26 038;  8 231;  17 807;  30 066;  14 314;  15 752;  49 405;  29 287;  20 118;  14 756;  9 542;  5 214;  31 347;  22 535;  8 812;  18 143;  12 509;  5 634;   779;   618;   161;   175;   117;   58;  2 004;   841;  1 163
2014;57;Sinop;  167 308;  82 356;  84 952;  9 844;  2 080;  7 764;  14 147;  4 693;  9 454;  57 338;  26 017;  31 321;  27 798;  15 285;  12 513;  11 781;  7 361;  4 420;  26 173;  15 351;  10 822;  17 525;  10 129;  7 396;   776;   466;   310;   249;   142;   107;  1 677;   832;   845
2014;58;Sivas;  480 000;  236 741;  243 259;  35 352;  5 545;  29 807;  28 338;  9 852;  18 486;  124 010;  53 547;  70 463;  81 966;  44 084;  37 882;  40 668;  24 206;  16 462;  102 553;  61 782;  40 771;  53 699;  31 369;  22 330;  2 665;  1 718;   947;  1 066;   692;   374;  9 683;  3 946;  5 737
2014;59;Tekirdağ;  711 834;  366 750;  345 084;  14 619;  2 894;  11 725;  32 366;  10 543;  21 823;  192 069;  81 321;  110 748;  142 663;  80 352;  62 311;  63 558;  36 320;  27 238;  169 465;  101 020;  68 445;  82 613;  46 082;  36 531;  5 033;  2 939;  2 094;  1 217;   748;   469;  8 231;  4 531;  3 700
2014;60;Tokat;  466 412;  229 275;  237 137;  17 599;  3 464;  14 135;  50 854;  16 477;  34 377;  137 801;  58 457;  79 344;  85 623;  45 598;  40 025;  36 965;  22 661;  14 304;  82 724;  50 083;  32 641;  46 569;  28 306;  18 263;  2 724;  1 801;   923;   821;   534;   287;  4 732;  1 894;  2 838
2014;61;Trabzon;  606 696;  296 913;  309 783;  33 996;  4 279;  29 717;  38 788;  9 745;  29 043;  144 855;  61 864;  82 991;  90 290;  49 534;  40 756;  49 249;  29 087;  20 162;  150 316;  87 018;  63 298;  80 532;  45 831;  34 701;  5 298;  3 158;  2 140;  2 097;  1 334;   763;  11 275;  5 063;  6 212
2014;62;Tunceli;  73 608;  41 279;  32 329;  5 887;  1 127;  4 760;  3 999;  1 497;  2 502;  14 029;  6 714;  7 315;  11 607;  8 233;  3 374;  4 721;  2 905;  1 816;  20 286;  12 965;  7 321;  10 930;  6 571;  4 359;   532;   348;   184;   110;   72;   38;  1 507;   847;   660
2014;63;Şanlıurfa; 1 090 307;  538 497;  551 810;  151 544;  24 376;  127 168;  189 945;  61 044;  128 901;  196 949;  102 696;  94 253;  244 893;  155 688;  89 205;  82 999;  53 068;  29 931;  124 943;  83 973;  40 970;  70 515;  44 771;  25 744;  3 566;  2 517;  1 049;  1 103;   759;   344;  23 850;  9 605;  14 245
2014;64;Uşak;  276 714;  136 137;  140 577;  8 506;  1 289;  7 217;  18 932;  4 882;  14 050;  84 314;  35 744;  48 570;  56 823;  31 887;  24 936;  21 726;  13 147;  8 579;  53 359;  30 285;  23 074;  29 295;  16 757;  12 538;  1 719;  1 039;   680;   467;   308;   159;  1 573;   799;   774
2014;65;Van;  679 028;  347 009;  332 019;  70 444;  13 061;  57 383;  119 364;  39 616;  79 748;  124 660;  63 764;  60 896;  155 077;  97 342;  57 735;  47 863;  29 408;  18 455;  96 259;  64 113;  32 146;  48 390;  31 854;  16 536;  2 621;  1 875;   746;   856;   629;   227;  13 494;  5 347;  8 147
2014;66;Yozgat;  329 774;  163 603;  166 171;  18 993;  3 370;  15 623;  21 706;  7 802;  13 904;  105 312;  44 369;  60 943;  57 420;  30 099;  27 321;  26 582;  16 445;  10 137;  61 119;  39 137;  21 982;  27 608;  17 015;  10 593;  1 437;   989;   448;   397;   265;   132;  9 200;  4 112;  5 088
2014;67;Zonguldak;  480 347;  235 035;  245 312;  33 524;  4 437;  29 087;  23 059;  5 845;  17 214;  141 782;  58 414;  83 368;  81 900;  48 286;  33 614;  38 015;  23 113;  14 902;  104 406;  63 590;  40 816;  49 752;  27 274;  22 478;  2 759;  1 614;  1 145;   784;   464;   320;  4 366;  1 998;  2 368
2014;68;Aksaray;  278 554;  136 744;  141 810;  17 368;  2 270;  15 098;  14 939;  4 971;  9 968;  86 175;  37 249;  48 926;  63 560;  34 768;  28 792;  21 749;  13 134;  8 615;  46 236;  27 816;  18 420;  23 636;  13 688;  9 948;  1 583;  1 063;   520;   478;   296;   182;  2 830;  1 489;  1 341
2014;69;Bayburt;  62 099;  31 800;  30 299;  4 107;   535;  3 572;  3 570;  1 236;  2 334;  16 141;  6 824;  9 317;  12 623;  6 403;  6 220;  4 466;  2 821;  1 645;  12 962;  8 693;  4 269;  6 515;  4 383;  2 132;   361;   260;   101;   94;   62;   32;  1 260;   583;   677
2014;70;Karaman;  183 135;  90 671;  92 464;  5 957;  1 008;  4 949;  8 191;  2 709;  5 482;  58 807;  24 284;  34 523;  41 058;  22 242;  18 816;  13 328;  7 820;  5 508;  33 389;  19 258;  14 131;  19 500;  11 658;  7 842;  1 008;   656;   352;   255;   170;   85;  1 642;   866;   776
2014;71;Kırıkkale;  214 648;  106 920;  107 728;  10 289;  1 175;  9 114;  9 622;  2 438;  7 184;  50 726;  18 133;  32 593;  33 916;  17 094;  16 822;  22 963;  13 447;  9 516;  59 203;  37 579;  21 624;  25 285;  15 480;  9 805;  1 485;  1 005;   480;   327;   222;   105;   832;   347;   485
2014;72;Batman;  348 824;  173 280;  175 544;  33 482;  5 920;  27 562;  43 482;  12 568;  30 914;  52 677;  22 536;  30 141;  84 445;  47 260;  37 185;  30 997;  18 788;  12 209;  60 421;  40 182;  20 239;  32 276;  21 087;  11 189;  1 434;  1 083;   351;   314;   222;   92;  9 296;  3 634;  5 662
2014;73;Şırnak;  290 667;  153 366;  137 301;  37 468;  6 180;  31 288;  40 003;  12 859;  27 144;  43 772;  23 099;  20 673;  73 160;  45 895;  27 265;  23 021;  13 972;  9 049;  41 917;  31 492;  10 425;  22 735;  15 783;  6 952;   940;   707;   233;   161;   120;   41;  7 490;  3 259;  4 231
2014;74;Bartın;  154 305;  75 021;  79 284;  9 372;  2 005;  7 367;  12 555;  3 081;  9 474;  46 102;  20 093;  26 009;  33 579;  18 942;  14 637;  9 655;  5 866;  3 789;  25 543;  14 939;  10 604;  14 518;  8 505;  6 013;   876;   562;   314;   222;   150;   72;  1 883;   878;  1 005
2014;75;Ardahan;  76 766;  39 567;  37 199;  6 764;  1 142;  5 622;  4 836;  1 951;  2 885;  22 399;  10 600;  11 799;  14 499;  8 099;  6 400;  5 872;  3 646;  2 226;  13 273;  8 823;  4 450;  6 686;  4 055;  2 631;   351;   236;   115;   93;   61;   32;  1 993;   954;  1 039
2014;76;Iğdır;  129 917;  66 877;  63 040;  13 559;  2 367;  11 192;  14 946;  6 386;  8 560;  24 469;  13 250;  11 219;  27 728;  16 378;  11 350;  9 931;  5 901;  4 030;  22 117;  13 050;  9 067;  11 937;  6 838;  5 099;   606;   396;   210;   124;   89;   35;  4 500;  2 222;  2 278
2014;77;Yalova;  178 691;  88 657;  90 034;  4 870;   757;  4 113;  6 838;  1 977;  4 861;  44 124;  17 667;  26 457;  27 142;  15 156;  11 986;  18 330;  10 188;  8 142;  45 510;  25 128;  20 382;  25 110;  14 137;  10 973;  1 954;  1 191;   763;   372;   251;   121;  4 441;  2 205;  2 236
2014;78;Karabük;  190 065;  96 079;  93 986;  12 030;  1 898;  10 132;  9 029;  2 621;  6 408;  49 712;  20 593;  29 119;  29 607;  16 604;  13 003;  15 653;  9 817;  5 836;  47 370;  28 861;  18 509;  23 385;  13 775;  9 610;  1 496;   964;   532;   477;   346;   131;  1 306;   600;   706
2014;79;Kilis;  90 320;  44 893;  45 427;  5 714;  1 178;  4 536;  6 890;  2 195;  4 695;  20 460;  9 584;  10 876;  23 530;  12 225;  11 305;  7 450;  4 491;  2 959;  16 502;  9 230;  7 272;  8 499;  5 312;  3 187;   424;   290;   134;   144;   99;   45;   707;   289;   418
2014;80;Osmaniye;  364 338;  182 661;  181 677;  26 387;  4 487;  21 900;  16 684;  5 956;  10 728;  85 220;  35 408;  49 812;  69 030;  38 509;  30 521;  37 739;  22 572;  15 167;  79 266;  47 178;  32 088;  42 084;  24 523;  17 561;  1 586;  1 097;   489;   333;   194;   139;  6 009;  2 737;  3 272
2014;81;Düzce;  275 623;  137 620;  138 003;  12 237;  1 897;  10 340;  15 314;  4 019;  11 295;  76 621;  32 135;  44 486;  56 248;  31 532;  24 716;  21 195;  12 614;  8 581;  60 015;  36 336;  23 679;  28 862;  16 259;  12 603;  1 664;  1 029;   635;   549;   375;   174;  2 918;  1 424;  1 494
2015;1;Adana; 1 614 122;  799 405;  814 717;  81 095;  13 265;  67 830;  100 351;  30 938;  69 413;  383 952;  165 297;  218 655;  253 454;  148 735;  104 719;  186 854;  105 769;  81 085;  366 471;  203 534;  162 937;  214 943;  116 993;  97 950;  12 602;  7 251;  5 351;  3 183;  1 889;  1 294;  11 217;  5 734;  5 483
2015;2;Adıyaman;  422 941;  211 038;  211 903;  38 654;  6 606;  32 048;  26 681;  9 276;  17 405;  95 663;  41 624;  54 039;  79 846;  43 607;  36 239;  50 150;  30 304;  19 846;  80 891;  48 666;  32 225;  46 536;  28 200;  18 336;  1 942;  1 424;   518;   516;   346;   170;  2 062;   985;  1 077
2015;3;Afyonkarahisar;  544 405;  267 421;  276 984;  20 275;  2 411;  17 864;  28 801;  7 027;  21 774;  180 108;  72 718;  107 390;  95 491;  52 261;  43 230;  55 259;  34 046;  21 213;  103 121;  62 603;  40 518;  54 580;  32 393;  22 187;  3 422;  2 100;  1 322;  1 016;   676;   340;  2 332;  1 186;  1 146
2015;4;Ağrı;  341 618;  178 844;  162 774;  38 716;  6 673;  32 043;  58 512;  22 089;  36 423;  74 063;  40 018;  34 045;  58 882;  39 892;  18 990;  33 331;  20 562;  12 769;  41 860;  28 678;  13 182;  25 026;  15 597;  9 429;   956;   658;   298;   274;   175;   99;  9 998;  4 502;  5 496
2015;5;Amasya;  258 207;  126 480;  131 727;  11 110;  1 926;  9 184;  14 621;  4 258;  10 363;  81 106;  32 836;  48 270;  35 748;  18 660;  17 088;  26 345;  15 739;  10 606;  53 690;  31 680;  22 010;  32 387;  19 584;  12 803;  1 603;  1 011;   592;   336;   190;   146;  1 261;   596;   665
2015;6;Ankara; 4 100 245; 2 022 664; 2 077 581;  105 614;  13 689;  91 925;  106 141;  25 024;  81 117;  806 011;  304 142;  501 869;  480 855;  267 395;  213 460;  455 670;  254 409;  201 261; 1 098 877;  594 427;  504 450;  873 359;  468 021;  405 338;  102 453;  58 106;  44 347;  30 486;  17 428;  13 058;  40 779;  20 023;  20 756
2015;7;Antalya; 1 726 569;  874 906;  851 663;  26 361;  4 259;  22 102;  82 540;  20 509;  62 031;  447 888;  197 234;  250 654;  262 793;  148 639;  114 154;  182 459;  104 651;  77 808;  408 496;  229 102;  179 394;  272 664;  146 712;  125 952;  15 375;  8 770;  6 605;  3 929;  2 346;  1 583;  24 064;  12 684;  11 380
2015;8;Artvin;  138 393;  69 545;  68 848;  6 274;   944;  5 330;  7 243;  1 735;  5 508;  37 448;  13 927;  23 521;  17 244;  10 138;  7 106;  14 953;  8 980;  5 973;  34 764;  21 638;  13 126;  18 809;  11 256;  7 553;   857;   540;   317;   230;   154;   76;   571;   233;   338
2015;9;Aydın;  842 387;  417 370;  425 017;  22 578;  3 824;  18 754;  51 122;  13 886;  37 236;  267 828;  121 171;  146 657;  131 513;  75 809;  55 704;  76 974;  44 176;  32 798;  165 701;  89 296;  76 405;  111 797;  61 078;  50 719;  6 115;  3 481;  2 634;  1 774;  1 054;   720;  6 985;  3 595;  3 390
2015;10;Balıkesir;  977 347;  485 309;  492 038;  28 155;  5 545;  22 610;  51 804;  16 722;  35 082;  326 245;  135 996;  190 249;  125 427;  71 477;  53 950;  93 266;  53 847;  39 419;  205 108;  117 078;  88 030;  132 459;  76 196;  56 263;  6 634;  4 045;  2 589;  1 649;  1 015;   634;  6 600;  3 388;  3 212
2015;11;Bilecik;  170 398;  88 304;  82 094;  4 480;   765;  3 715;  4 632;  1 488;  3 144;  51 799;  20 169;  31 630;  25 234;  14 654;  10 580;  16 797;  10 212;  6 585;  43 084;  26 112;  16 972;  22 333;  13 687;  8 646;  1 169;   712;   457;   265;   159;   106;   605;   346;   259
2015;12;Bingöl;  192 551;  98 352;  94 199;  19 691;  3 715;  15 976;  19 928;  6 176;  13 752;  38 100;  17 295;  20 805;  36 802;  21 531;  15 271;  18 284;  11 112;  7 172;  36 922;  23 746;  13 176;  20 418;  13 358;  7 060;   940;   690;   250;   229;   172;   57;  1 237;   557;   680
2015;13;Bitlis;  221 435;  115 383;  106 052;  21 666;  3 643;  18 023;  29 738;  8 752;  20 986;  43 242;  20 802;  22 440;  44 391;  26 383;  18 008;  22 451;  14 362;  8 089;  36 420;  25 924;  10 496;  21 018;  14 277;  6 741;   906;   678;   228;   185;   116;   69;  1 418;   446;   972
2015;14;Bolu;  234 680;  115 503;  119 177;  10 204;  1 612;  8 592;  10 192;  3 147;  7 045;  69 247;  28 321;  40 926;  31 627;  16 430;  15 197;  20 317;  12 291;  8 026;  57 119;  33 400;  23 719;  31 687;  17 863;  13 824;  2 131;  1 248;   883;   798;   495;   303;  1 358;   696;   662
2015;15;Burdur;  209 933;  103 019;  106 914;  7 230;  1 045;  6 185;  10 154;  2 240;  7 914;  72 573;  31 209;  41 364;  28 318;  15 807;  12 511;  19 410;  11 718;  7 692;  42 882;  24 007;  18 875;  26 354;  15 231;  11 123;  1 412;   908;   504;   429;   273;   156;  1 171;   581;   590
2015;16;Bursa; 2 194 481; 1 090 660; 1 103 821;  74 091;  11 553;  62 538;  76 695;  22 123;  54 572;  568 012;  225 467;  342 545;  351 484;  193 984;  157 500;  254 271;  143 804;  110 467;  519 806;  301 760;  218 046;  308 981;  169 217;  139 764;  18 879;  10 958;  7 921;  4 298;  2 573;  1 725;  17 964;  9 221;  8 743
2015;17;Çanakkale;  429 092;  216 437;  212 655;  8 232;  1 843;  6 389;  23 649;  8 437;  15 212;  148 606;  62 267;  86 339;  50 673;  30 480;  20 193;  35 724;  21 005;  14 719;  93 170;  52 801;  40 369;  62 212;  35 691;  26 521;  4 028;  2 278;  1 750;  1 232;   782;   450;  1 566;   853;   713
2015;18;Çankırı;  145 765;  72 266;  73 499;  8 682;  1 434;  7 248;  8 052;  2 403;  5 649;  44 824;  18 550;  26 274;  20 862;  11 026;  9 836;  14 651;  9 256;  5 395;  30 565;  18 415;  12 150;  15 939;  9 865;  6 074;  1 031;   687;   344;   252;   170;   82;   907;   460;   447
2015;19;Çorum;  414 384;  203 237;  211 147;  26 396;  5 319;  21 077;  33 030;  10 738;  22 292;  129 129;  56 616;  72 513;  67 458;  36 440;  31 018;  39 890;  23 798;  16 092;  70 125;  41 576;  28 549;  42 523;  25 499;  17 024;  2 272;  1 479;   793;   506;   305;   201;  3 055;  1 467;  1 588
2015;20;Denizli;  781 936;  386 468;  395 468;  15 495;  2 372;  13 123;  43 551;  9 385;  34 166;  238 503;  105 953;  132 550;  127 852;  71 652;  56 200;  77 883;  44 936;  32 947;  165 381;  90 419;  74 962;  101 640;  55 245;  46 395;  5 876;  3 421;  2 455;  1 801;  1 094;   707;  3 954;  1 991;  1 963
2015;21;Diyarbakır; 1 084 089;  542 514;  541 575;  121 262;  21 942;  99 320;  164 424;  50 967;  113 457;  180 971;  95 130;  85 841;  203 390;  121 777;  81 613;  111 291;  65 910;  45 381;  177 675;  110 971;  66 704;  114 244;  69 398;  44 846;  5 246;  3 596;  1 650;  1 499;  1 094;   405;  4 087;  1 729;  2 358
2015;22;Edirne;  337 930;  170 399;  167 531;  11 798;  2 626;  9 172;  17 278;  6 195;  11 083;  111 053;  49 273;  61 780;  40 816;  24 468;  16 348;  29 751;  17 801;  11 950;  77 005;  42 258;  34 747;  44 421;  24 599;  19 822;  3 086;  1 702;  1 384;  1 152;   662;   490;  1 570;   815;   755
2015;23;Elazığ;  439 900;  216 305;  223 595;  24 735;  5 155;  19 580;  43 173;  8 533;  34 640;  92 383;  35 180;  57 203;  63 925;  35 743;  28 182;  48 426;  29 258;  19 168;  101 378;  62 832;  38 546;  57 401;  34 555;  22 846;  4 021;  2 564;  1 457;  1 548;  1 072;   476;  2 910;  1 413;  1 497
2015;24;Erzincan;  176 872;  89 577;  87 295;  12 870;  2 056;  10 814;  8 670;  2 757;  5 913;  41 632;  17 725;  23 907;  24 662;  13 560;  11 102;  17 518;  10 690;  6 828;  42 290;  24 877;  17 413;  25 623;  15 767;  9 856;  1 593;  1 084;   509;   402;   293;   109;  1 612;   768;   844
2015;25;Erzurum;  551 654;  274 147;  277 507;  43 054;  6 750;  36 304;  40 455;  12 821;  27 634;  130 626;  53 587;  77 039;  87 705;  48 038;  39 667;  56 094;  34 638;  21 456;  116 749;  72 253;  44 496;  63 969;  39 208;  24 761;  4 633;  2 879;  1 754;  2 151;  1 474;   677;  6 218;  2 499;  3 719
2015;26;Eskişehir;  671 378;  332 240;  339 138;  16 649;  2 303;  14 346;  17 123;  4 231;  12 892;  169 916;  62 420;  107 496;  78 660;  41 305;  37 355;  69 705;  39 810;  29 895;  184 974;  108 833;  76 141;  114 339;  62 680;  51 659;  9 715;  5 273;  4 442;  3 674;  2 064;  1 610;  6 623;  3 321;  3 302
2015;27;Gaziantep; 1 276 335;  639 442;  636 893;  69 046;  8 495;  60 551;  92 116;  28 180;  63 936;  311 771;  132 202;  179 569;  295 291;  173 496;  121 795;  146 287;  86 799;  59 488;  215 898;  127 143;  88 755;  125 340;  71 953;  53 387;  8 003;  5 170;  2 833;  2 004;  1 253;   751;  10 579;  4 751;  5 828
2015;28;Giresun;  348 827;  170 972;  177 855;  22 300;  3 675;  18 625;  35 550;  8 456;  27 094;  90 052;  44 382;  45 670;  43 688;  23 532;  20 156;  34 790;  20 751;  14 039;  75 849;  43 449;  32 400;  41 336;  23 695;  17 641;  2 054;  1 286;   768;   570;   346;   224;  2 638;  1 400;  1 238
2015;29;Gümüşhane;  120 565;  60 983;  59 582;  6 446;   926;  5 520;  8 209;  2 670;  5 539;  28 777;  12 216;  16 561;  16 337;  8 218;  8 119;  10 997;  6 777;  4 220;  31 068;  19 053;  12 015;  14 658;  8 816;  5 842;   738;   495;   243;   273;   196;   77;  3 062;  1 616;  1 446
2015;30;Hakkari;  188 767;  105 060;  83 707;  18 565;  3 639;  14 926;  20 718;  6 692;  14 026;  26 759;  12 699;  14 060;  41 067;  26 074;  14 993;  18 443;  10 946;  7 497;  40 293;  29 375;  10 918;  19 551;  13 997;  5 554;   667;   522;   145;   84;   52;   32;  2 620;  1 064;  1 556
2015;31;Hatay; 1 089 175;  541 814;  547 361;  33 219;  7 193;  26 026;  95 393;  22 438;  72 955;  304 693;  141 424;  163 269;  192 130;  107 691;  84 439;  118 686;  67 485;  51 201;  202 136;  114 090;  88 046;  122 390;  69 587;  52 803;  5 423;  3 346;  2 077;  1 392;   858;   534;  13 713;  7 702;  6 011
2015;32;Isparta;  336 230;  165 824;  170 406;  11 560;  1 697;  9 863;  13 477;  3 203;  10 274;  97 259;  39 629;  57 630;  42 419;  22 838;  19 581;  31 845;  18 890;  12 955;  82 918;  46 668;  36 250;  49 404;  28 621;  20 783;  3 648;  2 205;  1 443;  1 463;   996;   467;  2 237;  1 077;  1 160
2015;33;İçel; 1 315 452;  648 867;  666 585;  39 415;  6 797;  32 618;  93 524;  25 953;  67 571;  357 498;  156 352;  201 146;  202 152;  114 828;  87 324;  142 566;  80 498;  62 068;  281 275;  155 765;  125 510;  178 825;  97 515;  81 310;  9 021;  5 296;  3 725;  1 989;  1 149;   840;  9 187;  4 714;  4 473
2015;34;İstanbul; 11 177 884; 5 585 261; 5 592 623;  310 790;  45 999;  264 791;  416 735;  129 116;  287 619; 2 509 672; 1 066 871; 1 442 801; 1 699 038;  977 648;  721 390; 1 247 095;  699 443;  547 652; 2 683 399; 1 464 156; 1 219 243; 1 921 392;  988 083;  933 309;  206 463;  114 294;  92 169;  43 982;  25 277;  18 705;  139 318;  74 374;  64 944
2015;35;İzmir; 3 353 104; 1 661 637; 1 691 467;  65 573;  11 438;  54 135;  155 256;  41 389;  113 867;  877 640;  373 802;  503 838;  453 767;  267 922;  185 845;  349 076;  194 502;  154 574;  802 516;  434 099;  368 417;  571 359;  296 895;  274 464;  43 855;  22 935;  20 920;  12 843;  7 065;  5 778;  21 219;  11 590;  9 629
2015;36;Kars;  207 404;  108 220;  99 184;  17 973;  2 891;  15 082;  15 364;  5 559;  9 805;  50 153;  24 331;  25 822;  40 742;  25 284;  15 458;  20 919;  12 527;  8 392;  35 782;  22 467;  13 315;  20 389;  11 964;  8 425;   965;   560;   405;   404;   267;   137;  4 713;  2 370;  2 343
2015;37;Kastamonu;  303 772;  148 563;  155 209;  23 221;  4 199;  19 022;  22 926;  6 726;  16 200;  99 170;  44 531;  54 639;  40 818;  21 937;  18 881;  25 834;  16 222;  9 612;  56 263;  34 297;  21 966;  31 715;  18 509;  13 206;  1 804;  1 085;   719;   452;   282;   170;  1 569;   775;   794
2015;38;Kayseri;  993 139;  493 519;  499 620;  35 265;  4 246;  31 019;  43 989;  10 238;  33 751;  256 722;  102 672;  154 050;  162 683;  92 637;  70 046;  110 472;  63 916;  46 556;  226 838;  130 808;  96 030;  134 642;  77 197;  57 445;  9 411;  5 551;  3 860;  2 658;  1 679;   979;  10 459;  4 575;  5 884
2015;39;Kırklareli;  291 292;  148 679;  142 613;  7 649;  1 432;  6 217;  10 047;  3 589;  6 458;  89 050;  38 519;  50 531;  41 213;  23 723;  17 490;  28 143;  15 990;  12 153;  72 443;  41 296;  31 147;  38 423;  21 681;  16 742;  2 076;  1 205;   871;   380;   254;   126;  1 868;   990;   878
2015;40;Kırşehir;  178 100;  87 899;  90 201;  8 292;  1 005;  7 287;  9 234;  2 502;  6 732;  48 603;  19 545;  29 058;  23 695;  13 089;  10 606;  19 677;  11 413;  8 264;  42 125;  24 249;  17 876;  23 770;  14 506;  9 264;  1 294;   801;   493;   383;   257;   126;  1 027;   532;   495
2015;41;Kocaeli; 1 351 905;  681 928;  669 977;  40 651;  5 972;  34 679;  46 166;  12 484;  33 682;  303 364;  115 716;  187 648;  226 434;  123 339;  103 095;  156 537;  89 508;  67 029;  348 735;  207 806;  140 929;  202 499;  111 882;  90 617;  13 558;  8 123;  5 435;  2 990;  1 768;  1 222;  10 971;  5 330;  5 641
2015;42;Konya; 1 589 041;  777 633;  811 408;  49 972;  7 165;  42 807;  75 739;  16 755;  58 984;  509 285;  204 319;  304 966;  285 081;  155 658;  129 423;  154 432;  92 192;  62 240;  296 009;  172 111;  123 898;  190 588;  112 830;  77 758;  14 291;  9 024;  5 267;  4 635;  3 045;  1 590;  9 009;  4 534;  4 475
2015;43;Kütahya;  463 227;  226 987;  236 240;  13 161;  2 400;  10 761;  30 634;  8 524;  22 110;  150 109;  56 309;  93 800;  70 463;  37 630;  32 833;  42 606;  26 123;  16 483;  98 400;  61 777;  36 623;  52 560;  30 926;  21 634;  3 275;  2 147;  1 128;   918;   607;   311;  1 101;   544;   557
2015;44;Malatya;  582 520;  287 763;  294 757;  45 258;  7 294;  37 964;  29 050;  8 966;  20 084;  125 784;  51 347;  74 437;  82 905;  47 129;  35 776;  70 468;  41 266;  29 202;  136 426;  78 633;  57 793;  82 817;  47 652;  35 165;  4 517;  2 884;  1 633;  1 492;   998;   494;  3 803;  1 594;  2 209
2015;45;Manisa; 1 090 755;  542 589;  548 166;  34 443;  5 604;  28 839;  65 608;  19 438;  46 170;  387 798;  171 810;  215 988;  177 863;  101 665;  76 198;  100 179;  58 943;  41 236;  196 571;  113 020;  83 551;  119 037;  66 761;  52 276;  5 662;  3 370;  2 292;  1 318;   829;   489;  2 276;  1 149;  1 127
2015;46;Kahramanmaraş;  769 539;  388 321;  381 218;  54 726;  9 976;  44 750;  47 307;  14 731;  32 576;  193 149;  84 979;  108 170;  146 166;  80 869;  65 297;  88 882;  52 694;  36 188;  143 610;  88 497;  55 113;  78 609;  46 981;  31 628;  4 832;  3 321;  1 511;  1 046;   722;   324;  11 212;  5 551;  5 661
2015;47;Mardin;  510 814;  254 538;  256 276;  65 661;  11 587;  54 074;  56 013;  17 036;  38 977;  93 408;  47 465;  45 943;  101 873;  56 856;  45 017;  53 012;  31 863;  21 149;  82 597;  53 807;  28 790;  45 512;  29 658;  15 854;  1 926;  1 390;   536;   286;   194;   92;  10 526;  4 682;  5 844
2015;48;Muğla;  721 577;  369 014;  352 563;  15 557;  2 553;  13 004;  23 543;  7 013;  16 530;  223 325;  100 997;  122 328;  98 201;  58 329;  39 872;  68 537;  40 072;  28 465;  161 266;  89 578;  71 688;  113 770;  61 011;  52 759;  6 723;  3 753;  2 970;  1 813;  1 110;   703;  8 842;  4 598;  4 244
2015;49;Muş;  257 424;  130 971;  126 453;  31 611;  5 217;  26 394;  41 778;  13 943;  27 835;  48 436;  26 066;  22 370;  50 323;  30 153;  20 170;  24 802;  15 797;  9 005;  36 390;  24 856;  11 534;  20 104;  13 210;  6 894;   852;   610;   242;   193;   141;   52;  2 935;   978;  1 957
2015;50;Nevşehir;  221 112;  108 176;  112 936;  9 098;   961;  8 137;  9 389;  2 270;  7 119;  68 173;  28 342;  39 831;  37 736;  20 470;  17 266;  24 125;  14 045;  10 080;  44 750;  26 130;  18 620;  24 868;  14 259;  10 609;  1 368;   857;   511;   420;   246;   174;  1 185;   596;   589
2015;51;Niğde;  257 426;  127 039;  130 387;  12 427;  1 381;  11 046;  12 699;  3 520;  9 179;  77 589;  34 316;  43 273;  49 382;  27 651;  21 731;  26 506;  15 653;  10 853;  48 308;  27 277;  21 031;  27 423;  15 371;  12 052;  1 838;  1 147;   691;   590;   390;   200;   664;   333;   331
2015;52;Ordu;  579 354;  287 636;  291 718;  46 630;  8 847;  37 783;  51 719;  15 088;  36 631;  156 181;  77 169;  79 012;  82 205;  44 570;  37 635;  60 815;  35 488;  25 327;  113 283;  67 391;  45 892;  60 910;  34 649;  26 261;  2 866;  1 794;  1 072;   745;   455;   290;  4 000;  2 185;  1 815
