years;Province_Code;Province_name;General_Total-Total;General_Total-Male;General_Total-Female;Illiterate-Total;Illiterate-Male;Illiterate-Female;_Literate_without_a_diploma-Total;_Literate_without_a_diploma-Male;_Literate_without_a_diploma-Female;Primary_school-Total;Primary_school-Male;Primary_school-Female;Primary_education-Total;Primary_education-Male;Primary_education-Female;Lower_secondary_school-Total;Lower_secondary_school-Male;Lower_secondary_school-Female;Upper_secondary_school-Total;Upper_secondary_school-Male;Upper_secondary_school-Female;Universities_and_other_higher_educational_institutions-Total;Universities_and_other_higher_educational_institutions-Male;Universities_and_other_higher_educational_institutions-Female;Master_(Including_5_or_6_Years_Faculties)-Total;Master_(Including_5_or_6_Years_Faculties)-Male;Master_(Including_5_or_6_Years_Faculties)-Female;Doctorate-Total;Doctorate-Male;Doctorate-Female;_Unknown-Total;_Unknown-Male;_Unknown-Female
2008;30;Hakkari;  157 109;  86 615;  70 494;  36 997;  10 337;  26 660;  20 823;  9 379;  11 444;  18 329;  10 861;  7 468;  23 709;  15 224;  8 485;  3 249;  2 389;   860;  28 097;  21 797;  6 300;  4 568;  3 523;  1 045;   341;   266;   75;   47;   35;   12;  20 949;  12 804;  8 145
2008;31;Hatay;  984 970;  489 442;  495 528;  110 460;  21 850;  88 610;  65 751;  26 329;  39 422;  364 212;  185 463;  178 749;  121 551;  64 105;  57 446;  45 654;  28 793;  16 861;  158 911;  90 803;  68 108;  47 133;  29 594;  17 539;  2 034;  1 263;   771;   532;   380;   152;  68 732;  40 862;  27 870
2008;32;Isparta;  320 487;  159 326;  161 161;  21 132;  3 430;  17 702;  14 132;  5 013;  9 119;  126 006;  57 605;  68 401;  31 432;  16 483;  14 949;  16 046;  11 006;  5 040;  68 322;  39 325;  28 997;  23 109;  14 693;  8 416;  1 268;   798;   470;   611;   461;   150;  18 429;  10 512;  7 917
2008;33;Mersin; 1 184 509;  582 372;  602 137;  104 380;  20 471;  83 909;  70 706;  28 506;  42 200;  429 138;  210 278;  218 860;  128 940;  67 131;  61 809;  63 190;  38 841;  24 349;  227 985;  123 474;  104 511;  78 269;  47 194;  31 075;  3 152;  1 854;  1 298;   788;   498;   290;  77 961;  44 125;  33 836
2008;34;İstanbul; 9 563 384; 4 775 248; 4 788 136;  458 897;  80 733;  378 164;  499 963;  191 218;  308 745; 3 204 062; 1 553 623; 1 650 439;  960 446;  504 498;  455 948;  605 488;  361 741;  243 747; 2 044 677; 1 092 167;  952 510;  808 981;  449 127;  359 854;  89 226;  52 467;  36 759;  22 462;  13 649;  8 813;  869 182;  476 025;  393 157
2008;35;İzmir; 3 011 095; 1 494 038; 1 517 057;  165 221;  31 738;  133 483;  141 873;  54 653;  87 220; 1 077 920;  517 324;  560 596;  285 408;  151 813;  133 595;  190 770;  110 816;  79 954;  640 821;  338 736;  302 085;  279 028;  156 031;  122 997;  16 897;  9 468;  7 429;  6 057;  3 585;  2 472;  207 100;  119 874;  87 226
2008;36;Kars;  214 452;  113 484;  100 968;  30 268;  5 711;  24 557;  20 770;  9 515;  11 255;  57 882;  31 918;  25 964;  26 932;  15 806;  11 126;  7 761;  5 375;  2 386;  31 932;  21 390;  10 542;  7 003;  4 563;  2 440;   442;   280;   162;   166;   134;   32;  31 296;  18 792;  12 504
2008;37;Kastamonu;  288 735;  140 216;  148 519;  44 038;  9 624;  34 414;  20 452;  8 551;  11 901;  115 747;  55 864;  59 883;  29 453;  14 832;  14 621;  12 674;  9 767;  2 907;  40 737;  25 770;  14 967;  13 165;  8 667;  4 498;   568;   362;   206;   131;   87;   44;  11 770;  6 692;  5 078
2008;38;Kayseri;  858 208;  428 539;  429 669;  66 054;  10 174;  55 880;  42 847;  15 089;  27 758;  303 454;  145 783;  157 671;  91 209;  48 022;  43 187;  45 181;  30 042;  15 139;  169 007;  99 877;  69 130;  55 880;  36 101;  19 779;  2 951;  1 650;  1 301;   774;   547;   227;  80 851;  41 254;  39 597
2008;39;Kırklareli;  275 959;  142 831;  133 128;  13 250;  2 919;  10 331;  13 900;  5 963;  7 937;  117 536;  55 132;  62 404;  25 091;  14 065;  11 026;  16 926;  10 383;  6 543;  57 892;  33 947;  23 945;  17 353;  10 467;  6 886;   720;   475;   245;   85;   53;   32;  13 206;  9 427;  3 779
2008;40;Kırşehir;  170 598;  83 702;  86 896;  17 502;  3 078;  14 424;  9 027;  3 657;  5 370;  62 107;  28 932;  33 175;  19 229;  9 958;  9 271;  9 808;  6 558;  3 250;  34 200;  20 124;  14 076;  9 678;  6 503;  3 175;   402;   277;   125;   104;   78;   26;  8 541;  4 537;  4 004
2008;41;Kocaeli; 1 115 725;  563 414;  552 311;  62 282;  11 065;  51 217;  58 582;  21 203;  37 379;  383 177;  174 996;  208 181;  121 474;  63 385;  58 089;  71 628;  46 508;  25 120;  248 643;  148 641;  100 002;  75 520;  47 046;  28 474;  4 443;  2 889;  1 554;  1 047;   679;   368;  88 929;  47 002;  41 927
2008;42;Konya; 1 428 000;  697 213;  730 787;  116 962;  17 823;  99 139;  61 427;  23 895;  37 532;  636 522;  291 115;  345 407;  175 587;  88 102;  87 485;  61 072;  44 352;  16 720;  231 605;  141 443;  90 162;  81 757;  54 624;  27 133;  5 063;  3 279;  1 784;  1 688;  1 210;   478;  56 317;  31 370;  24 947
2008;43;Kütahya;  448 876;  220 134;  228 742;  42 532;  8 892;  33 640;  24 757;  10 471;  14 286;  200 323;  88 030;  112 293;  46 407;  23 032;  23 375;  22 191;  16 706;  5 485;  77 496;  50 398;  27 098;  21 342;  14 488;  6 854;  1 298;   842;   456;   333;   257;   76;  12 197;  7 018;  5 179
2008;44;Malatya;  535 880;  265 274;  270 606;  65 924;  13 418;  52 506;  33 069;  13 341;  19 728;  146 589;  70 355;  76 234;  63 888;  33 513;  30 375;  32 679;  21 837;  10 842;  112 330;  66 685;  45 645;  31 603;  20 500;  11 103;  1 202;   815;   387;   480;   344;   136;  48 116;  24 466;  23 650
2008;45;Manisa; 1 019 797;  503 641;  516 156;  97 611;  19 972;  77 639;  58 907;  25 058;  33 849;  473 981;  236 168;  237 813;  103 912;  53 367;  50 545;  40 974;  27 150;  13 824;  149 400;  84 342;  65 058;  50 042;  31 408;  18 634;  1 901;  1 166;   735;   436;   305;   131;  42 633;  24 705;  17 928
