year;province_name;general_total;illiterate_total;illiterate_ratio;literate_without_diploma_total;literate_without_diploma_ratio;primary_school_total;primary_school_ratio;primary_education_total;primary_education_ratio;lower_secondary_school_total;lower_secondary_school_ratio;upper_secondary_school_total;upper_secondary_school_ratio;universities_and_other_higher_educational_institutions_total;universities_and_other_higher_educational_institutions_ratio;master_total;master_ratio;doctorate_total;doctorate_ratio;unknown_total;unknown_ratio
2022;Gaziantep;1477527;47811;3.24;56137;3.80;258360;17.49;161220;10.91;360550;24.40;340451;23.04;207403;14.04;24160;1.64;2897;0.20;18538;1.25
2022;Giresun;375960;16013;4.26;25904;6.89;79040;21.02;28633;7.62;57910;15.40;94099;25.03;63015;16.76;5799;1.54;1097;0.29;4450;1.18
2022;Gümüşhane;118169;4020;3.40;6998;5.92;22299;18.87;9022;7.63;16095;13.62;33203;28.10;19272;16.31;1964;1.66;416;0.35;4880;4.13
2022;Hakkari;198184;8692;4.39;9551;4.82;15156;7.65;10251;5.17;54013;27.25;68526;34.58;27180;13.71;2248;1.13;179;0.09;2388;1.20
2022;Hatay;1235619;23619;1.91;65336;5.29;251596;20.36;106015;8.58;255509;20.68;290027;23.47;192306;15.56;19083;1.54;2227;0.18;29901;2.42
2022;Isparta;358670;7464;2.08;9006;2.51;76476;21.32;24313;6.78;53612;14.95;103634;28.89;69625;19.41;8601;2.40;2441;0.68;3498;0.98
2022;Mersin;1452708;27730;1.91;63210;4.35;288281;19.84;111392;7.67;273330;18.82;380976;26.23;263465;18.14;25476;1.75;3308;0.23;15540;1.07
2022;İstanbul;12005250;206140;1.72;260169;2.17;1876659;15.63;869849;7.25;2093799;17.44;3362672;28.01;2702394;22.51;389440;3.24;60138;0.50;183990;1.53
2022;İzmir;3631713;43571;1.20;101758;2.80;688302;18.95;251234;6.92;601833;16.57;1003854;27.64;800362;22.04;95155;2.62;17805;0.49;27839;0.77
2022;Kars;204286;11950;5.85;8701;4.26;38264;18.73;17092;8.37;46842;22.93;47720;23.36;27565;13.49;3197;1.56;705;0.35;2250;1.10
2022;Kastamonu;316376;14373;4.54;16753;5.30;87228;27.57;26634;8.42;47346;14.97;71799;22.69;45171;14.28;4784;1.51;900;0.28;1388;0.44
2022;Kayseri;1100384;24021;2.18;30673;2.79;205609;18.69;86716;7.88;209262;19.02;303028;27.54;199693;18.15;22235;2.02;3653;0.33;15494;1.41
2022;Kırklareli;309900;4462;1.44;5937;1.92;73748;23.80;27372;8.83;47847;15.44;88085;28.42;54726;17.66;5137;1.66;807;0.26;1779;0.57
2022;Kırşehir;189216;5224;2.76;6579;3.48;39271;20.75;13907;7.35;30998;16.38;52794;27.90;33239;17.57;3466;1.83;730;0.39;3008;1.59
2022;Kocaeli;1595025;27084;1.70;35275;2.21;244947;15.36;131672;8.26;296538;18.59;486158;30.48;322649;20.23;33566;2.10;4116;0.26;13020;0.82
2022;Konya;1749187;32873;1.88;51729;2.96;413749;23.65;153911;8.80;334648;19.13;414543;23.70;282237;16.14;36669;2.10;6467;0.37;22361;1.28
2022;Kütahya;474724;7710;1.62;20101;4.23;119719;25.22;44437;9.36;72384;15.25;121039;25.50;76957;16.21;8650;1.82;1388;0.29;2339;0.49
2022;Malatya;632081;31848;5.04;20989;3.32;104226;16.49;45901;7.26;114944;18.19;176026;27.85;117676;18.62;13169;2.08;2185;0.35;5117;0.81
2022;Manisa;1171645;21943;1.87;44235;3.78;313687;26.77;111886;9.55;209364;17.87;270528;23.09;178438;15.23;16147;1.38;1907;0.16;3510;0.30
2022;Kahramanmaraş;865492;39580;4.57;32940;3.81;156011;18.03;84369;9.75;188913;21.83;210815;24.36;126232;14.58;14137;1.63;1789;0.21;10706;1.24
2022;Mardin;584882;47363;8.10;36762;6.29;76418;13.07;42054;7.19;147171;25.16;142828;24.42;74155;12.68;8243;1.41;534;0.09;9354;1.60
2022;Muğla;839575;10201;1.22;17012;2.03;181523;21.62;59516;7.09;129426;15.42;227436;27.09;182543;21.74;18495;2.20;3180;0.38;10243;1.22
2022;Muş;269418;18905;7.02;19544;7.25;36860;13.68;22158;8.22;73935;27.44;61942;22.99;30003;11.14;3412;1.27;489;0.18;2170;0.81
2022;Nevşehir;242019;5710;2.36;6701;2.77;54428;22.49;21425;8.85;43939;18.16;62609;25.87;39161;16.18;4005;1.65;790;0.33;3251;1.34
